2064415;Kafyr-Kumuh;Кафыр-Кумух;Кафыр-Кумух
2064414;Ор 23 Км;Ост.пункт 23 Км;Ост.пункт 23 Км
2064413;Ор 30 Км;Ост.пункт 30 Км;Ост.пункт 30 Км
2064412;Chekon;Чекон;Чекон
2064411;Djiginskyi;Джигинский;Джигинский
2064410;Ор 144 Км;Ост.пункт 144 Км;Ост.пункт 144 Км
2064409;Ор 116 Км;Ост.пункт 116 Км;Ост.пункт 116 Км
2064408;Ор 33 Км;Ост.пункт 33 Км;Ост.пункт 33 Км
2064407;Gornyi;Горный;Горный
2064406;Hutorskaia;Хуторская;Хуторская
2064405;Ор 23 Км;Ост.пункт 23 Км;Ост.пункт 23 Км
2064404;Ор 33 Км;Ост.пункт 33 Км;Ост.пункт 33 Км
2064403;Ор 36 Км;Ост.пункт 36 Км;Ост.пункт 36 Км
2064402;Ор 54 Км;Ост.пункт 54 Км;Ост.пункт 54 Км
2064401;Ор 60 Км;Ост.пункт 60 Км;Ост.пункт 60 Км
2064400;Riajenoe;Ряженое;Ряженое
2064399;Ор 1571 Км;Ост.пункт 1571 Км;Ост.пункт 1571 Км
2064398;Оп 1576 Км;Ост.пункт 1576 Км;Ост.пункт 1576 Км
2064397;Rogachvskyi;Рогачевский;Рогачевский
2064396;Ор 1605 Км;Ост.пункт 1605 Км;Ост.пункт 1605 Км
2064395;Dorojkov;Дорожков;Дорожков
2064394;Ор 1612 Км;Ост.пункт 1612 Км;Ост.пункт 1612 Км
2064393;Ор 1627 Км;Ост.пункт 1621 Км;Ост.пункт 1621 Км
2064392;Kocebu;Коцебу;Коцебу
5800000;Erevan;Ереван;Ереван
2064391;Ор 1627 Км;Ост.пункт 1627 Км;Ост.пункт 1627 Км
5701710;Velidag;Велидаг;Велидаг
2064390;Prochnookop;Прочноокопский;Прочноокопский
2064389;Ор 1655 Км;Ост.пункт 1655 Км;Ост.пункт 1655 Км
2064388;Ор 1676 Км;Ост.пункт 1676 Км;Ост.пункт 1676 Км
2064387;Ор 1771 Км;Ост.пункт 1771 Км;Ост.пункт 1771 Км
2064386;Kirpichnoie;Кирпичное;Кирпичное
2064385;Tuapse-Sort;Туапсе-Сорт;Туапсе-Сорт
2064384;Makopse;Макопсе;Макопсе
2064447;Minaievskyi;Минаевский;Минаевский
2064446;Ор 44 Км;Ост.пункт 44 Км;Ост.пункт 44 Км
2064445;Ор 89 Км;Ост.пункт 89 Км;Ост.пункт 89 Км
2064444;Ор 147 Км;Ост.пункт 147 Км;Ост.пункт 147 Км
2064443;Ор 169 Км;Ост.пункт 169 Км;Ост.пункт 169 Км
2064442;Ор 166 Км;Ост.пункт 166 Км;Ост.пункт 166 Км
2064441;Novolodino;Новолодино;Новолодино
2064440;Ор 153 Км;Ост.пункт 153 Км;Ост.пункт 153 Км
2064439;Ор 138 Км;Ост.пункт 138 Км;Ост.пункт 138 Км
2064438;Poimennyi;Пойменный;Пойменный
2064437;Ор 118 Км;Ост.пункт 118 Км;Ост.пункт 118 Км
2064436;Ор 113 Км;Ост.пункт 113 Км;Ост.пункт 113 Км
2064435;Kim;Ким;Ким
2064434;Ор 3 Км;Ост.пункт 3 Км;Ост.пункт 3 Км
2064433;Ор 9 Км;Ост.пункт 9 Км;Ост.пункт 9 Км
2064432;Оп 29 Км;Ост.пункт 29 Км;Ост.пункт 29 Км
2064431;Ор 35 Км;Ост.пункт 35 Км;Ост.пункт 35 Км
2064430;Оп 37 Км;Ост.пункт 37 Км;Ост.пункт 37 Км
2064429;Shuntuk;Шунтук;Шунтук
2064428;Ор 56 Км;Ост.пункт 56 Км;Ост.пункт 56 Км
5701732;Pl 526 Km*;Платформа 526 Км *;Платформа 526 Км *
2064427;Ор 62 Км;Ост.пункт 62 Км;Ост.пункт 62 Км
2064426;Ор 10 Км;Ост.пункт 10 Км;Ост.пункт 10 Км
2064425;Ор 25 Км;Ост.пункт 25 Км;Ост.пункт 25 Км
2064424;Vladimirsk;Владимирская;Владимирская
2064423;Zasovskaia;Засовская;Засовская
2064422;Gospital;Госпиталь;Госпиталь
2064421;Kaladjinsk;Каладжинская;Каладжинская
2064420;Ор 4 Км;Ост.пункт 4 Км;Ост.пункт 4 Км
2064419;Ор 7 Км;Ост.пункт 7 Км;Ост.пункт 7 Км
2064418;Kumtor-Kale;Кумтор-Кале;Кумтор-Кале
2064417;Ор 25 Км;Ост.пункт 25 Км;Ост.пункт 25 Км
2064416;Ор 29 Км;Ост.пункт 29 Км;Ост.пункт 29 Км
2064479;Оп 1386 Км;Ост.пункт 1386 Км;Ост.пункт 1386 Км
2064478;Ор 1388 Км;Ост.пункт 1388 Км;Ост.пункт 1388 Км
2064477;Оп 1401 Км;Ост.пункт 1401 Км;Ост.пункт 1401 Км
2064476;Ор 1411 Км;Ост.пункт 1411 Км;Ост.пункт 1411 Км
2064475;Оп 1412 Км;Ост.пункт 1412 Км;Ост.пункт 1412 Км
2064474;Ор 1422 Км;Ост.пункт 1422 Км;Ост.пункт 1422 Км
2064473;Оп 1454 Км;Ост.пункт 1454 Км;Ост.пункт 1454 Км
2064472;Ор 1459 Км;Ост.пункт 1459 Км;Ост.пункт 1459 Км
2064471;Ор 1474 Км;Ост.пункт 1474 Км;Ост.пункт 1474 Км
2064470;Ор 1477 Км;Ост.пункт 1477 Км;Ост.пункт 1477 Км
2064469;Оп 1482 Км;Ост Пункт 1482 Км;Ост Пункт 1482 Км
2064468;Ор 1490 Км;Ост.пункт 1490 Км;Ост.пункт 1490 Км
2064467;Ocheretovatyi;Очеретоватый;Очеретоватый
2064466;Ор 1498 Км;Ост.пункт 1498 Км;Ост.пункт 1498 Км
2064465;Оп 1501 Км;Ост.пункт 1501 Км;Ост.пункт 1501 Км
2064464;Ор 1507 Км;Ост.пункт 1507 Км;Ост.пункт 1507 Км
2064463;Ор1511 Км;Ост.пункт 1511 Км;Ост.пункт 1511 Км
2064462;Ор 1517 Км;Ост.пункт 1517 Км;Ост.пункт 1517 Км
2064461;Ор 1519 Км;Ост.пункт 1519 Км;Ост.пункт 1519 Км
2064460;;Пост 1522 Км;Пост 1522 Км
2064459;Ор 1528 Км;Ост.пункт 1528 Км;Ост.пункт 1528 Км
2064458;Ор 1531 Км;Ост Пункт 1531 Км;Ост Пункт 1531 Км
2064457;Оп 1532 Км;Ост.пункт 1532 Км;Ост.пункт 1532 Км
2064456;Ор 1537 Км;Ост.пункт 1537 Км;Ост.пункт 1537 Км
2064455;Ор 1540 Км;Ост.пункт 1540 Км;Ост.пункт 1540 Км
2064454;Miusskii;Миусский;Миусский
2064453;Ор 1543 Км;Ост.пункт 1543 Км;Ост.пункт 1543 Км
2064452;Bekeshevskii;Бекешевский;Бекешевский
2064451;Ор 1561 Км;Ост.пункт 1561 Км;Ост.пункт 1561 Км
2064450;Kr Bumaj;Краснобумажник;Краснобумажник
2064449;Kurenyi;Куреный;Куреный
2064448;Ор 240 Км;Ост.пункт 240 Км;Ост.пункт 240 Км
2064511;Ор 65 Км;Ост.пункт 65 Км;Ост.пункт 65 Км
2064510;Mihailovsk;Михайловская;Михайловская
2064509;Krutyie Peski;Крутые Пески;Крутые Пески
2064508;Shishkino;Шишкино;Шишкино
2064507;Urvan;Урвань;Урвань
2064506;Zavodskaia;Заводская;Заводская
2064505;Selekcion;Селекционная;Селекционная
2064504;Sadon;Садон;Садон
2064503;Ekaterinogr;Екатериноградский;Екатериноградский
2064502;Pavlodolsk;Павлодольский;Павлодольский
2064501;Kalinovskii;Калиновский;Калиновский
2064500;Solkushino;Солкушино;Солкушино
2064499;Teplovodnyi;Тепловодный;Тепловодный
2064498;Ор 173 Км;Ост.пункт 173 Км;Ост.пункт 173 Км
2064497;;Пост 169 Км;Пост 169 Км
2064496;Gudermes-Zap;Гудермес-Западный;Гудермес-Западный
2064495;Ор 1282 Км;Ост.пункт 1282 Км;Ост.пункт 1282 Км
2064494;Ор 1286 Км;Ост.пункт 1286 Км;Ост.пункт 1286 Км
2064493;Ор 1300 Км;Ост.пункт 1300 Км;Ост.пункт 1300 Км
2064492;Tanais;Танаис;Танаис
2064491;Ор 1314 Км;Ост.пункт 1314 Км;Ост.пункт 1314 Км
2064490;Martynovo;Мартыново;Мартыново
2064489;;Пост 1330 Км;Пост 1330 Км
2064488;Ор 1337 Км;Ост.пункт 1337 Км;Ост.пункт 1337 Км
2064487;Ор 1344 Км;Ост.пункт 1344 Км;Ост.пункт 1344 Км
2064486;Ор 1354 Км;Ост.пункт 1354 Км;Ост.пункт 1354 Км
2064485;Оп 1361 Км;Ост.пункт 1361 Км;Ост.пункт 1361 Км
2064484;Gaidash;Гайдаш;Гайдаш
2064483;Оп 1370 Км;Ост.пункт 1370 Км;Ост.пункт 1370 Км
2064482;Ор 1373 Км;Ост.пункт 1373 Км;Ост.пункт 1373 Км
2064481;Kochevanchik;Кочеванчик;Кочеванчик
2064480;Ор 1376 Км;Ост.пункт 1376 Км;Ост.пункт 1376 Км
2064543;Batashevskyi;Баташевский;Баташевский
2064542;Bairam;Байрам;Байрам
2064541;Ор 2219 Км;Ост.пункт 2219 Км;Ост.пункт 2219 Км
2064540;Sulak;Сулак;Сулак
2064539;Ор 2233 Км;Ост.пункт 2233 Км;Ост.пункт 2233 Км
2064538;Bystryi;Быстрый;Быстрый
2064537;Ор 2236 Км;Ост.пункт 2236 Км;Ост.пункт 2236 Км
2064536;Peltievsk;Пельтиевский;Пельтиевский
